industry_name_ANZSIC,rme_size_grp,variables
"Agriculture, Forestry and Fishing",a_0,Activity unit
"Agriculture, Forestry and Fishing",a_0,Rolling mean employees
"Agriculture, Forestry and Fishing",a_0,Salaries and wages paid
"Agriculture, Forestry and Fishing",a_0,"Sales, government funding, grants and subsidies"
"Agriculture, Forestry and Fishing",a_0,Total income
"Agriculture, Forestry and Fishing",a_0,Total expenditure
"Agriculture, Forestry and Fishing",a_0,Operating profit before tax
"Agriculture, Forestry and Fishing",a_0,Total assets
"Agriculture, Forestry and Fishing",a_0,Fixed tangible assets
"Agriculture, Forestry and Fishing",b_1-5,Activity unit
"Agriculture, Forestry and Fishing",b_1-5,Rolling mean employees
"Agriculture, Forestry and Fishing",b_1-5,Salaries and wages paid
"Agriculture, Forestry and Fishing",b_1-5,"Sales, government funding, grants and subsidies"
"Agriculture, Forestry and Fishing",b_1-5,Total income
"Agriculture, Forestry and Fishing",b_1-5,Total expenditure
"Agriculture, Forestry and Fishing",b_1-5,Operating profit before tax
"Agriculture, Forestry and Fishing",b_1-5,Total assets
"Agriculture, Forestry and Fishing",b_1-5,Fixed tangible assets
"Agriculture, Forestry and Fishing",c_6-9,Activity unit
"Agriculture, Forestry and Fishing",c_6-9,Rolling mean employees
"Agriculture, Forestry and Fishing",c_6-9,Salaries and wages paid
"Agriculture, Forestry and Fishing",c_6-9,"Sales, government funding, grants and subsidies"
"Agriculture, Forestry and Fishing",c_6-9,Total income
"Agriculture, Forestry and Fishing",c_6-9,Total expenditure
"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax
"Agriculture, Forestry and Fishing",c_6-9,Total assets
"Agriculture, Forestry and Fishing",c_6-9,Fixed tangible assets
"Agriculture, Forestry and Fishing",d_10-19,Activity unit
"Agriculture, Forestry and Fishing",d_10-19,Rolling mean employees
"Agriculture, Forestry and Fishing",d_10-19,Salaries and wages paid
"Agriculture, Forestry and Fishing",d_10-19,"Sales, government funding, grants and subsidies"
"Agriculture, Forestry and Fishing",d_10-19,Total income
"Agriculture, Forestry and Fishing",d_10-19,Total expenditure
"Agriculture, Forestry and Fishing",d_10-19,Operating profit before tax
"Agriculture, Forestry and Fishing",d_10-19,Total assets
"Agriculture, Forestry and Fishing",d_10-19,Fixed tangible assets
"Agriculture, Forestry and Fishing",e_20-49,Activity unit
"Agriculture, Forestry and Fishing",e_20-49,Rolling mean employees
"Agriculture, Forestry and Fishing",e_20-49,Salaries and wages paid
"Agriculture, Forestry and Fishing",e_20-49,"Sales, government funding, grants and subsidies"
"Agriculture, Forestry and Fishing",e_20-49,Total income
"Agriculture, Forestry and Fishing",e_20-49,Total expenditure
"Agriculture, Forestry and Fishing",e_20-49,Operating profit before tax
"Agriculture, Forestry and Fishing",e_20-49,Total assets
"Agriculture, Forestry and Fishing",e_20-49,Fixed tangible assets
"Agriculture, Forestry and Fishing",f_50-99,Activity unit
"Agriculture, Forestry and Fishing",f_50-99,Rolling mean employees
"Agriculture, Forestry and Fishing",f_50-99,Salaries and wages paid
"Agriculture, Forestry and Fishing",f_50-99,"Sales, government funding, grants and subsidies"
"Agriculture, Forestry and Fishing",f_50-99,Total income
"Agriculture, Forestry and Fishing",f_50-99,Total expenditure
"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax
"Agriculture, Forestry and Fishing",f_50-99,Total assets
"Agriculture, Forestry and Fishing",f_50-99,Fixed tangible assets
"Agriculture, Forestry and Fishing",g_100-199,Activity unit
"Agriculture, Forestry and Fishing",g_100-199,Rolling mean employees
"Agriculture, Forestry and Fishing",g_100-199,Salaries and wages paid
"Agriculture, Forestry and Fishing",g_100-199,"Sales, government funding, grants and subsidies"
"Agriculture, Forestry and Fishing",g_100-199,Total income
"Agriculture, Forestry and Fishing",g_100-199,Total expenditure
"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax
"Agriculture, Forestry and Fishing",g_100-199,Total assets
"Agriculture, Forestry and Fishing",g_100-199,Fixed tangible assets
"Agriculture, Forestry and Fishing",h_200+,Activity unit
"Agriculture, Forestry and Fishing",h_200+,Rolling mean employees
"Agriculture, Forestry and Fishing",h_200+,Salaries and wages paid
"Agriculture, Forestry and Fishing",h_200+,"Sales, government funding, grants and subsidies"
"Agriculture, Forestry and Fishing",h_200+,Total income
"Agriculture, Forestry and Fishing",h_200+,Total expenditure
"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax
"Agriculture, Forestry and Fishing",h_200+,Total assets
"Agriculture, Forestry and Fishing",h_200+,Fixed tangible assets
"Agriculture, Forestry and Fishing",i_Industry_Total,Activity unit
"Agriculture, Forestry and Fishing",i_Industry_Total,Rolling mean employees
"Agriculture, Forestry and Fishing",i_Industry_Total,Salaries and wages paid
"Agriculture, Forestry and Fishing",i_Industry_Total,"Sales, government funding, grants and subsidies"
"Agriculture, Forestry and Fishing",i_Industry_Total,Total income
"Agriculture, Forestry and Fishing",i_Industry_Total,Total expenditure
"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax
"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets
"Agriculture, Forestry and Fishing",i_Industry_Total,Fixed tangible assets
Mining,a_0,Activity unit
Mining,a_0,Rolling mean employees
Mining,a_0,Salaries and wages paid
Mining,a_0,"Sales, government funding, grants and subsidies"
Mining,a_0,Total income
Mining,a_0,Total expenditure
Mining,a_0,Operating profit before tax
Mining,a_0,Total assets
Mining,a_0,Fixed tangible assets
Mining,b_1-5,Activity unit
Mining,b_1-5,Rolling mean employees
Mining,b_1-5,Salaries and wages paid
Mining,b_1-5,"Sales, government funding, grants and subsidies"
Mining,b_1-5,Total income
Mining,b_1-5,Total expenditure
Mining,b_1-5,Operating profit before tax
Mining,b_1-5,Total assets
Mining,b_1-5,Fixed tangible assets
Mining,c_6-9,Activity unit
Mining,c_6-9,Rolling mean employees
Mining,c_6-9,Salaries and wages paid
Mining,c_6-9,"Sales, government funding, grants and subsidies"
Mining,c_6-9,Total income
Mining,c_6-9,Total expenditure
Mining,c_6-9,Operating profit before tax
Mining,c_6-9,Total assets
Mining,c_6-9,Fixed tangible assets
Mining,d_10-19,Activity unit
Mining,d_10-19,Rolling mean employees
Mining,d_10-19,Salaries and wages paid
Mining,d_10-19,"Sales, government funding, grants and subsidies"
Mining,d_10-19,Total income
Mining,d_10-19,Total expenditure
Mining,d_10-19,Operating profit before tax
Mining,d_10-19,Total assets
Mining,d_10-19,Fixed tangible assets
Mining,e_20-49,Activity unit
Mining,e_20-49,Rolling mean employees
Mining,e_20-49,Salaries and wages paid
Mining,e_20-49,"Sales, government funding, grants and subsidies"
Mining,e_20-49,Total income
Mining,e_20-49,Total expenditure
Mining,e_20-49,Operating profit before tax
Mining,e_20-49,Total assets
Mining,e_20-49,Fixed tangible assets
Mining,f_50-99,Activity unit
Mining,f_50-99,Rolling mean employees
Mining,f_50-99,Salaries and wages paid
Mining,f_50-99,"Sales, government funding, grants and subsidies"
Mining,f_50-99,Total income
Mining,f_50-99,Total expenditure
Mining,f_50-99,Operating profit before tax
Mining,f_50-99,Total assets
Mining,f_50-99,Fixed tangible assets
Mining,g_100-199,Activity unit
Mining,g_100-199,Rolling mean employees
Mining,g_100-199,Salaries and wages paid
Mining,g_100-199,"Sales, government funding, grants and subsidies"
Mining,g_100-199,Total income
Mining,g_100-199,Total expenditure
Mining,g_100-199,Operating profit before tax
Mining,g_100-199,Total assets
Mining,g_100-199,Fixed tangible assets
Mining,h_200+,Activity unit
Mining,h_200+,Rolling mean employees
Mining,h_200+,Salaries and wages paid
Mining,h_200+,"Sales, government funding, grants and subsidies"
Mining,h_200+,Total income
Mining,h_200+,Total expenditure
Mining,h_200+,Operating profit before tax
Mining,h_200+,Total assets
Mining,h_200+,Fixed tangible assets
Mining,i_Industry_Total,Activity unit
Mining,i_Industry_Total,Rolling mean employees
Mining,i_Industry_Total,Salaries and wages paid
Mining,i_Industry_Total,"Sales, government funding, grants and subsidies"
Mining,i_Industry_Total,Total income
Mining,i_Industry_Total,Total expenditure
Mining,i_Industry_Total,Operating profit before tax
