uuid,Country,Item Type,Sales Channel,Order Priority,Order Date,Region,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
535113847,Azerbaijan,Snacks,Online,C,10/8/14,Middle East and North Africa,10/23/14,934,152.58,97.44,142509.72,91008.96,51500.76
874708545,Panama,Cosmetics,Offline,L,2/22/15,Central America and the Caribbean,2/27/15,4551,437.2,263.33,1989697.2,1198414.83,791282.37
854349935,Sao Tome and Principe,Fruits,Offline,M,12/9/15,Sub-Saharan Africa,1/18/16,9986,9.33,6.92,93169.38,69103.12,24066.26
892836844,Sao Tome and Principe,Personal Care,Online,M,9/17/14,Sub-Saharan Africa,10/12/14,9118,81.73,56.67,745214.14,516717.06,228497.08
129280602,Belize,Household,Offline,H,2/4/10,Central America and the Caribbean,3/5/10,5858,668.27,502.54,3914725.66,2943879.32,970846.34
473105037,Denmark,Clothes,Online,C,2/20/13,Europe,2/28/13,1149,109.28,35.84,125562.72,41180.16,84382.56
754046475,Germany,Cosmetics,Offline,M,3/31/13,Europe,5/3/13,7964,437.2,263.33,3481860.8,2097160.12,1384700.68
772153747,Turkey,Fruits,Online,C,3/26/12,Middle East and North Africa,4/7/12,6307,9.33,6.92,58844.31,43644.44,15199.87
847788178,United Kingdom,Snacks,Online,H,12/29/12,Europe,1/15/13,8217,152.58,97.44,1253749.86,800664.48,453085.38
471623599,Kazakhstan,Cosmetics,Online,H,9/11/15,Asia,9/18/15,2758,437.2,263.33,1205797.6,726264.14,479533.46
554646337,Haiti,Cosmetics,Online,C,12/27/13,Central America and the Caribbean,1/1/14,1031,437.2,263.33,450753.2,271493.23,179259.97
278155219,Italy,Clothes,Online,M,12/17/13,Europe,1/10/14,1165,109.28,35.84,127311.2,41753.6,85557.6
243761575,Malta,Household,Offline,L,3/10/15,Europe,4/17/15,3322,668.27,502.54,2219992.94,1669437.88,550555.06
223389232,Jordan,Household,Offline,L,7/9/14,Middle East and North Africa,7/18/14,4693,668.27,502.54,3136191.11,2358420.22,777770.89
509274518,Cambodia,Vegetables,Offline,H,6/14/17,Asia,6/29/17,4502,154.06,90.93,693578.12,409366.86,284211.26
563966262,Saint Kitts and Nevis ,Office Supplies,Online,H,8/10/11,Central America and the Caribbean,8/29/11,9004,651.21,524.96,5863494.84,4726739.84,1136755
370325791,Cameroon,Fruits,Online,H,12/18/15,Sub-Saharan Africa,2/6/16,6486,9.33,6.92,60514.38,44883.12,15631.26
881526935,Bahrain,Vegetables,Offline,L,6/26/16,Middle East and North Africa,7/19/16,2264,154.06,90.93,348791.84,205865.52,142926.32
871056020,Solomon Islands,Beverages,Offline,C,5/11/15,Australia and Oceania,5/30/15,3688,47.45,31.79,174995.6,117241.52,57754.08
982711875,Monaco,Office Supplies,Online,M,1/13/12,Europe,1/17/12,5137,651.21,524.96,3345265.77,2696719.52,648546.25
580605828,Comoros,Beverages,Offline,L,8/10/14,Sub-Saharan Africa,8/20/14,3022,47.45,31.79,143393.9,96069.38,47324.52
899161708,Iceland,Meat,Online,L,4/22/13,Europe,4/28/13,786,421.89,364.69,331605.54,286646.34,44959.2
993115842,Zambia,Cosmetics,Offline,M,7/26/14,Sub-Saharan Africa,8/20/14,3902,437.2,263.33,1705954.4,1027513.66,678440.74
887517058,Egypt,Cereal,Online,C,7/14/14,Middle East and North Africa,8/20/14,4875,205.7,117.11,1002787.5,570911.25,431876.25
227726686,Togo,Clothes,Offline,L,6/1/10,Sub-Saharan Africa,6/28/10,8242,109.28,35.84,900685.76,295393.28,605292.48
529418551,Saudi Arabia,Vegetables,Online,H,11/4/11,Middle East and North Africa,11/20/11,5569,154.06,90.93,857960.14,506389.17,351570.97
228578984,Morocco,Vegetables,Offline,L,5/15/14,Middle East and North Africa,6/26/14,456,154.06,90.93,70251.36,41464.08,28787.28
531506812,Tunisia ,Office Supplies,Offline,L,10/28/10,Middle East and North Africa,11/23/10,3532,651.21,524.96,2300073.72,1854158.72,445915
464813363,Angola,Cosmetics,Offline,L,4/1/10,Sub-Saharan Africa,4/8/10,7458,437.2,263.33,3260637.6,1963915.14,1296722.46
925422465,Vietnam,Cereal,Offline,H,5/22/11,Asia,6/2/11,1927,205.7,117.11,396383.9,225670.97,170712.93
630570447,Belarus,Meat,Online,L,1/20/14,Europe,2/15/14,8663,421.89,364.69,3654833.07,3159309.47,495523.6
167806136,Myanmar,Snacks,Offline,C,5/5/15,Asia,6/3/15,6420,152.58,97.44,979563.6,625564.8,353998.8
