order_id,product_id,customer_id,product,state_name,amount,currency,timestamp,transaction_date
4166,99,117,"Beans - Black Bean, Dry",New York,2968,USD,2020-09-02T10:31:07Z,9/2/2020
9107,30,894,Onions - White,New York,1906,USD,2020-09-02T09:57:38Z,9/2/2020
3795,84,726,Knife Plastic - White,New York,1201,USD,2020-09-02T06:47:15Z,9/2/2020
3896,23,888,"Lamb - Leg, Boneless",New York,1517,USD,2020-09-02T06:11:42Z,9/2/2020
7066,85,579,Artichoke - Fresh,New York,1875,USD,2020-09-02T00:56:50Z,9/2/2020
7845,26,658,Flour - Bread,New York,3055,USD,2020-09-02T16:22:29Z,9/2/2020
1843,17,294,French Kiss Vanilla,New Jersey,1757,USD,2020-09-02T10:59:05Z,9/2/2020
6009,10,146,Onion Powder,Texas,3006,USD,2020-09-02T14:25:24Z,9/2/2020
2188,36,352,Cake - Bande Of Fruit,California,3225,USD,2020-09-02T08:20:48Z,9/2/2020
2367,89,642,Lid - 16 Oz And 32 Oz,California,1552,USD,2020-09-02T21:20:09Z,9/2/2020
5774,56,421,Cheese - Valancey,New Jersey,2589,USD,2020-09-02T00:14:58Z,9/2/2020
3362,34,859,"7up Diet, 355 Ml",Texas,4841,USD,2020-09-02T12:43:56Z,9/2/2020
2466,84,594,"Wine - White, Concha Y Toro",California,4620,USD,2020-09-02T11:56:54Z,9/2/2020
6074,50,851,Wine - Muscadet Sur Lie,New York,1752,USD,2020-09-02T10:22:30Z,9/2/2020
4792,20,527,Foil Cont Round,New York,3341,USD,2020-09-02T10:53:21Z,9/2/2020
8348,28,610,Syrup - Monin - Blue Curacao,New York,2848,USD,2020-09-02T16:31:39Z,9/2/2020
9308,90,840,Mushroom - White Button,New York,1766,USD,2020-09-02T07:20:24Z,9/2/2020
9061,47,803,"Lamb - Whole, Frozen",New York,2182,USD,2020-09-02T19:44:51Z,9/2/2020
3440,65,733,Sauce - Fish 25 Ozf Bottle,New York,2311,USD,2020-09-02T01:02:32Z,9/2/2020
7861,94,671,Sprouts - Baby Pea Tendrils,New Jersey,2909,USD,2020-09-02T02:46:54Z,9/2/2020
7237,91,285,Wine - Casillero Del Diablo,Texas,1522,USD,2020-09-02T05:45:04Z,9/2/2020
3075,83,110,Longos - Grilled Veg Sandwiches,California,847,USD,2020-09-02T06:37:58Z,9/2/2020
